Artículo,Tipo,Valor
Termo Bala 750 Ml,Monto Fijo,10
Kit Membresía 2026,Monto Fijo,0
Activación De Membresía ,Monto Fijo,0
SABANAS MICROFIBRA ESTAMPADA IND DON PONCHO,Porcentaje,0.03
SABANAS MICROFIBRA ESTAMPADA MAT DON PONCHO,Porcentaje,0.03
SABANAS MICROFIBRA ESTAMPADA KS DON PONCHO,Porcentaje,0.03
SABANAS DURAZNO ESTAMPADAS IND DON PONCHO,Porcentaje,0.03
SABANAS DURAZNO ESTAMPADAS MAT DON PONCHO,Porcentaje,0.03
SABANAS DURAZNO ESTAMPADAS KS DON PONCHO,Porcentaje,0.03
SABANAS POCKET MAT MELIZA,Porcentaje,0.03
SABANAS POCKET KS MELIZA,Porcentaje,0.03
SABANAS NUVE MAT MELIZA,Porcentaje,0.03
SABANAS NUVE KS MELIZA,Porcentaje,0.03
SABANAS ESTAMPADA 6 PIEZAS MAT CASA NOVA,Porcentaje,0.03
SABANAS ESTAMPADA 6 PIEZAS KS CASA NOVA,Porcentaje,0.03
SABANAS ALGODÓN IND SANTA ANA ,Porcentaje,0.03
SABANAS ALGODÓN MAT SANTA ANA ,Porcentaje,0.03
SABANAS ALGODÓN QS SANTA ANA ,Porcentaje,0.03
SABANAS ALGODÓN KS SANTA ANA ,Porcentaje,0.03
FRAZADA CHEVIAN JBS,Porcentaje,0.03
EDREDON REVERSIBLE MAT Q-HOME ,Porcentaje,0.03
EDREDON REVERSIBLE KS Q-HOME ,Porcentaje,0.03
JUEGO EDREDON LIGERO COOL MAT-QS,Porcentaje,0.03
JUEGO EDREDON LIGERO CORRUGADAO MAT-QS,Porcentaje,0.03
EDREDON ITALIA BORDADO KS,Porcentaje,0.03
COORDINADO EDREDON LIGERO MAT CASA ISLA,Porcentaje,0.03
COORDINADO EDREDON LIGERO KS CASA ISLA,Porcentaje,0.03
CORTINAS BLACKOUT VICTORIA,Porcentaje,0.03
CORTINAS BLACKOUT DOBLE MELIZA,Porcentaje,0.03
CORTINAS ORGANZA BORDADA MELIZA,Porcentaje,0.03
CORTINAS BORDADA DOBLE MELIZA,Porcentaje,0.03
CORTINAS BORDADAS DON PONCHO,Porcentaje,0.03
"PROTECTOR DE COLCHON BAMBOO IND (CARB,LAVAN,EUCAL)",Porcentaje,0.03
PROTECTOR DE COLCHON BAMBOO MAT,Porcentaje,0.03
PROTECTOR DE COLCHON BAMBOO QS,Porcentaje,0.03
PROTECTOR DE COLCHON BAMBOO KS,Porcentaje,0.03
CUBIERTA SALA STRECH CASA ISLA,Porcentaje,0.03
MICHI ABRAZABLE,Porcentaje,0.03
FRAZADA UNICORNIO,Porcentaje,0.03
"ACCESORIOS DE BEBE (EVENFLO, AVENT",Porcentaje,0.03
ARTICULOS NUEVOS DE COCINA,Porcentaje,0.03
DESCONTINUADO,Monto Fijo,0
